court_town,province
# Curated partido-judicial court-town -> province overrides (2026-07-28).
# For court-town suffixes ("JUZGADO … - <TOWN>") whose short / regional / co-official
# spelling the gazetteer does not resolve cleanly, OR where an altLabel truncation
# would resolve to the WRONG province. Each row is HUMAN-VERIFIED against the real
# partido judicial. Checked FIRST in court_province_from_name (highest priority).
# Province must be a canonical provinces.py name. Ken extends this from the full
# court_map_wave165.csv unmappable list (134 distinct court-towns). NEVER guess:
# only add a row when the partido -> province is certain.
ELX,Alicante
VILAFRANCA PENEDES,Barcelona
BISBAL,Girona
VIELHA,Lleida
LOS CRISTIANOS,Santa Cruz de Tenerife
PLAYA LOS CRISTIANOS,Santa Cruz de Tenerife
EJIDO,Almería
JEREZ FRONTERA,Cádiz
ARENYS MAR,Barcelona
SANLUCAR BARRAMEDA,Cádiz
ALCALA HENARES,Madrid
A ORTIGUEIRA,A Coruña
AOIZ/AGOITZ,Navarra
ARENAS S PEDRO,Ávila
Alcàsser,Valencia
Alfàs del Pi,Alicante
Alfàs del Pi (l')/Alfaz del Pi,Alicante
CALDAS REYES,Pontevedra
Caldes d'Estrac,Barcelona
Caldes de Montbui,Barcelona
Canovelles,Barcelona
Castell-Platja d'Aro,Girona
Cubelles,Barcelona
EL BURGO DE OSMA,Soria
ESTRADA (A)-ESTRADA,Pontevedra
"Ejido, El",Almería
GERNIKA/LUMO-GERNIKA/LUMO,Bizkaia
GRAU/GRADO-GRADO,Asturias
INFIESTO,Asturias
Jijona/Xixona,Alicante
LUARCA,Asturias
Llinars del Vallès,Barcelona
NOIA,A Coruña
Noia,A Coruña
ORDES,A Coruña
PLAYA DE LOS CRISTIANOS,Santa Cruz de Tenerife
POLA (LA)-LENA,Asturias
POLA DE LENA,Asturias
POLA LAVIANA,Asturias
POLA LLAVIANA (LA)/POLA DE LAVIANA-LAVIANA,Asturias
PONTEAREAS-PONTEAREAS,Pontevedra
Puçol,Valencia
RAFELBUÑOL RAFELBUNYOL,Valencia
"Roda, La",Albacete
"Ràpita, La",Tarragona
SANTA COLOMA GRAMENET,Barcelona
SANTA MARIA DE GUIA,Las Palmas
SANTA MARTA DE ORTIGUEIRA,A Coruña
SOLARES,Cantabria
Sangüesa/Zangoza,Navarra
Sant Adrià de Besòs,Barcelona
Sant Andreu de la Barca,Barcelona
Sant Carles de la Ràpita,Tarragona
Sant Just Desvern,Barcelona
Sant Pere de Ribes,Barcelona
Sant Quirze del Vallès,Barcelona
Santa Eulària des Riu,Illes Balears
Santa Margarida i els Monjos,Barcelona
"Unión, La",Murcia
VILAFRANCA DEL PENEDES,Barcelona
VILLAJOYOSA/VILA JOIOSA,Alicante
VILLANUEVA INFANTES,Ciudad Real
"Vendrell, El",Tarragona
Vielha e Mijaran,Lleida
Vilafranca del Penedès,Barcelona
Vilassar de Dalt,Barcelona
Vilassar de Mar,Barcelona
