# SOURCE: Instituto Nacional de Estadistica (INE), official register.
# TITLE:  Relación de municipios y códigos por comunidades autónomas y provincias a 1 de enero de 2026
# URL:    https://www.ine.es/daco/daco42/codmun/diccionario26.xlsx
# INE Last-Modified: Fri, 13 Mar 2026 06:35:44 GMT
# sha256: 07f8e8d64eba73fe9d425196fe82f4e09a9886a287abd650e88ca8d98dd49052
# GENERATED: 2026-08-04T02:15:21Z by scripts/build-ine-gazetteer.py -- DO NOT HAND-EDIT.
# LANDING PAGE: https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177031
# CONTENT: one row per municipality -- the primary official denomination.
#          Municipalities ONLY; this register contains no pedanias or
#          sub-municipal entities. `ine` is the 5-digit CPRO+CMUN code.

ine,municipio,provincia,nombre_ine
01051,Agurain,Álava,Agurain/Salvatierra
01001,Alegría-Dulantzi,Álava,Alegría-Dulantzi
01002,Amurrio,Álava,Amurrio
01049,Añana,Álava,Añana
01003,Aramaio,Álava,Aramaio
01006,Armiñón,Álava,Armiñón
01037,Arraia-Maeztu,Álava,Arraia-Maeztu
01008,Arratzua-Ubarrundia,Álava,Arratzua-Ubarrundia
01004,Artziniega,Álava,Artziniega
01009,Asparrena,Álava,Asparrena
01010,Ayala,Álava,Ayala/Aiara
01011,Baños de Ebro,Álava,Baños de Ebro/Mañueta
01013,Barrundia,Álava,Barrundia
01014,Berantevilla,Álava,Berantevilla
01016,Bernedo,Álava,Bernedo
01017,Campezo,Álava,Campezo/Kanpezu
01021,Elburgo,Álava,Elburgo/Burgelu
01022,Elciego,Álava,Elciego
01023,Elvillar,Álava,Elvillar/Bilar
01046,Erriberagoitia,Álava,Erriberagoitia/Ribera Alta
01056,Harana,Álava,Harana/Valle de Arana
01901,Iruña Oka,Álava,Iruña Oka/Iruña de Oca
01027,Iruraiz-Gauna,Álava,Iruraiz-Gauna
01019,Kripan,Álava,Kripan
01020,Kuartango,Álava,Kuartango
01028,Labastida,Álava,Labastida/Bastida
01030,Lagrán,Álava,Lagrán
01031,Laguardia,Álava,Laguardia
01032,Lanciego,Álava,Lanciego/Lantziego
01902,Lantarón,Álava,Lantarón
01033,Lapuebla de Labarca,Álava,Lapuebla de Labarca
01036,Laudio,Álava,Laudio/Llodio
01058,Legutio,Álava,Legutio
01034,Leza,Álava,Leza
01039,Moreda de Álava,Álava,Moreda de Álava/Moreda Araba
01041,Navaridas,Álava,Navaridas
01042,Okondo,Álava,Okondo
01043,Oyón-Oion,Álava,Oyón-Oion
01044,Peñacerrada-Urizaharra,Álava,Peñacerrada-Urizaharra
01047,Ribera Baja,Álava,Ribera Baja/Erriberabeitia
01052,Samaniego,Álava,Samaniego
01053,San Millán,Álava,San Millán/Donemiliaga
01054,Urkabustaiz,Álava,Urkabustaiz
01055,Valdegovía,Álava,Valdegovía/Gaubea
01057,Villabuena de Álava,Álava,Villabuena de Álava/Eskuernaga
01059,Vitoria-Gasteiz,Álava,Vitoria-Gasteiz
01060,Yécora,Álava,Yécora/Iekora
01061,Zalduondo,Álava,Zalduondo
01062,Zambrana,Álava,Zambrana
01018,Zigoitia,Álava,Zigoitia
01063,Zuia,Álava,Zuia
02001,Abengibre,Albacete,Abengibre
02002,Alatoz,Albacete,Alatoz
02003,Albacete,Albacete,Albacete
02004,Albatana,Albacete,Albatana
02005,Alborea,Albacete,Alborea
02006,Alcadozo,Albacete,Alcadozo
02007,Alcalá del Júcar,Albacete,Alcalá del Júcar
02008,Alcaraz,Albacete,Alcaraz
02009,Almansa,Albacete,Almansa
02010,Alpera,Albacete,Alpera
02011,Ayna,Albacete,Ayna
02012,Balazote,Albacete,Balazote
02014,El Ballestero,Albacete,"Ballestero, El"
02013,Balsa de Ves,Albacete,Balsa de Ves
02015,Barrax,Albacete,Barrax
02016,Bienservida,Albacete,Bienservida
02017,Bogarra,Albacete,Bogarra
02018,Bonete,Albacete,Bonete
02019,El Bonillo,Albacete,"Bonillo, El"
02020,Carcelén,Albacete,Carcelén
02021,Casas de Juan Núñez,Albacete,Casas de Juan Núñez
02022,Casas de Lázaro,Albacete,Casas de Lázaro
02023,Casas de Ves,Albacete,Casas de Ves
02024,Casas-Ibáñez,Albacete,Casas-Ibáñez
02025,Caudete,Albacete,Caudete
02026,Cenizate,Albacete,Cenizate
02029,Chinchilla de Monte-Aragón,Albacete,Chinchilla de Monte-Aragón
02027,Corral-Rubio,Albacete,Corral-Rubio
02028,Cotillas,Albacete,Cotillas
02030,Elche de la Sierra,Albacete,Elche de la Sierra
02031,Férez,Albacete,Férez
02032,Fuensanta,Albacete,Fuensanta
02033,Fuente-Álamo,Albacete,Fuente-Álamo
02034,Fuentealbilla,Albacete,Fuentealbilla
02035,La Gineta,Albacete,"Gineta, La"
02036,Golosalvo,Albacete,Golosalvo
02037,Hellín,Albacete,Hellín
02038,La Herrera,Albacete,"Herrera, La"
02039,Higueruela,Albacete,Higueruela
02040,Hoya-Gonzalo,Albacete,Hoya-Gonzalo
