# SOURCE: Instituto Nacional de Estadistica (INE), official register.
# TITLE:  Relación de municipios y códigos por comunidades autónomas y provincias a 1 de enero de 2026
# URL:    https://www.ine.es/daco/daco42/codmun/diccionario26.xlsx
# INE Last-Modified: Fri, 13 Mar 2026 06:35:44 GMT
# sha256: 07f8e8d64eba73fe9d425196fe82f4e09a9886a287abd650e88ca8d98dd49052
# GENERATED: 2026-08-04T02:15:21Z by scripts/build-ine-gazetteer.py -- DO NOT HAND-EDIT.
# LANDING PAGE: https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177031
# CONTENT: the ADDITIONAL official written forms of a municipality's name
#          (the co-official-language denominations INE stores slash-separated).
#          Every row is derived mechanically from the `nombre_ine` of the
#          same INE code in ine_municipalities.csv -- nothing is invented.
#          `forma`: coofficial = a slash-separated official denomination.


ine,municipio,provincia,forma,nombre_ine
01051,Salvatierra,Álava,coofficial,Agurain/Salvatierra
01010,Aiara,Álava,coofficial,Ayala/Aiara
01011,Mañueta,Álava,coofficial,Baños de Ebro/Mañueta
01017,Kanpezu,Álava,coofficial,Campezo/Kanpezu
01021,Burgelu,Álava,coofficial,Elburgo/Burgelu
01023,Bilar,Álava,coofficial,Elvillar/Bilar
01046,Ribera Alta,Álava,coofficial,Erriberagoitia/Ribera Alta
01056,Valle de Arana,Álava,coofficial,Harana/Valle de Arana
01901,Iruña de Oca,Álava,coofficial,Iruña Oka/Iruña de Oca
01028,Bastida,Álava,coofficial,Labastida/Bastida
01032,Lantziego,Álava,coofficial,Lanciego/Lantziego
01036,Llodio,Álava,coofficial,Laudio/Llodio
01039,Moreda Araba,Álava,coofficial,Moreda de Álava/Moreda Araba
01047,Erriberabeitia,Álava,coofficial,Ribera Baja/Erriberabeitia
01053,Donemiliaga,Álava,coofficial,San Millán/Donemiliaga
01055,Gaubea,Álava,coofficial,Valdegovía/Gaubea
01057,Eskuernaga,Álava,coofficial,Villabuena de Álava/Eskuernaga
01060,Iekora,Álava,coofficial,Yécora/Iekora
03014,Alicante,Alicante,coofficial,Alacant/Alicante
03009,Alcoy,Alicante,coofficial,Alcoi/Alcoy
03051,Campo de Mirra,Alicante,coofficial,"Camp de Mirra, el/Campo de Mirra"
03065,Elche,Alicante,coofficial,Elx/Elche
03077,Hondón de las Nieves,Alicante,coofficial,"Fondó de les Neus, el/Hondón de las Nieves"
03089,Monóvar,Alicante,coofficial,Monòver/Monóvar
03084,Lorcha,Alicante,coofficial,"Orxa, l'/Lorcha"
03105,Pinoso,Alicante,coofficial,"Pinós, el/Pinoso"
03042,Benitachell,Alicante,coofficial,"Poble Nou de Benitatxell, el/Benitachell"
03122,San Vicente del Raspeig,Alicante,coofficial,Sant Vicent del Raspeig/San Vicente del Raspeig
03132,Torremanzanas,Alicante,coofficial,"Torre de les Maçanes, la/Torremanzanas"
03139,Villajoyosa,Alicante,coofficial,"Vila Joiosa, la/Villajoyosa"
03082,Jávea,Alicante,coofficial,Xàbia/Jávea
03083,Jijona,Alicante,coofficial,Xixona/Jijona
12901,Alquerías del Niño Perdido,Castellón,coofficial,"Alqueries, les/Alquerías del Niño Perdido"
12028,Benicasim,Castellón,coofficial,Benicàssim/Benicasim
12032,Burriana,Castellón,coofficial,Borriana/Burriana
12040,Castellón de la Plana,Castellón,coofficial,Castelló de la Plana/Castellón de la Plana
12053,Xilxes,Castellón,coofficial,Chilches/Xilxes
12072,Lucena del Cid,Castellón,coofficial,Llucena/Lucena del Cid
12085,Oropesa del Mar,Castellón,coofficial,Orpesa/Oropesa del Mar
12089,Peñíscola,Castellón,coofficial,Peníscola/Peñíscola
12099,San Jorge,Castellón,coofficial,Sant Jordi/San Jorge
12108,Sueras,Castellón,coofficial,Suera/Sueras
12122,Useras,Castellón,coofficial,"Useres, les/Useras"
12129,Villafranca del Cid,Castellón,coofficial,Vilafranca/Villafranca del Cid
12055,Chodos,Castellón,coofficial,Xodos/Chodos
20055,Mondragón,Gipuzkoa,coofficial,Arrasate/Mondragón
20069,San Sebastián,Gipuzkoa,coofficial,Donostia/San Sebastián
31002,Abartzuza,Navarra,coofficial,Abárzuza/Abartzuza
31003,Abaurrea Alta,Navarra,coofficial,Abaurregaina/Abaurrea Alta
31004,Abaurrea Baja,Navarra,coofficial,Abaurrepea/Abaurrea Baja
31009,Oibar,Navarra,coofficial,Aibar/Oibar
31011,Allin,Navarra,coofficial,Allín/Allin
31010,Alsasua,Navarra,coofficial,Altsasu/Alsasua
31014,Antzin,Navarra,coofficial,Ancín/Antzin
31016,Antsoain,Navarra,coofficial,Ansoáin/Antsoain
31019,Agoitz,Navarra,coofficial,Aoiz/Agoitz
31021,Aranaratxe,Navarra,coofficial,Aranarache/Aranaratxe
31028,Artzi,Navarra,coofficial,Arce/Artzi
31058,Burguete,Navarra,coofficial,Auritz/Burguete
31041,Aiegi,Navarra,coofficial,Ayegui/Aiegi
31901,Barañain,Navarra,coofficial,Barañáin/Barañain
31902,Berriobeiti,Navarra,coofficial,Berrioplano/Berriobeiti
31059,Burgi,Navarra,coofficial,Burgui/Burgi
31060,Burlata,Navarra,coofficial,Burlada/Burlata
31071,Gazteluberri,Navarra,coofficial,Castillonuevo/Gazteluberri
31193,Oltza Zendea,Navarra,coofficial,Cendea de Olza/Oltza Zendea
31074,Zirauki,Navarra,coofficial,Cirauqui/Zirauki
31075,Ziritza,Navarra,coofficial,Ciriza/Ziritza
31221,Santesteban,Navarra,coofficial,Doneztebe/Santesteban
31083,Etxarri,Navarra,coofficial,Echarri/Etxarri
31089,Eneritz,Navarra,coofficial,Enériz/Eneritz
31095,Espartza Zaraitzu,Navarra,coofficial,Esparza de Salazar/Espartza Zaraitzu
31093,Ezkaroze,Navarra,coofficial,Ezcároz/Ezkaroze
31110,Galipentzu,Navarra,coofficial,Gallipienzo/Galipentzu
31111,Galoze,Navarra,coofficial,Gallués/Galoze
31119,Gorza,Navarra,coofficial,Güesa/Gorza
31120,Gesalatz,Navarra,coofficial,Guesálaz/Gesalatz
31256,Villanueva de Aezkoa,Navarra,coofficial,Hiriberri/Villanueva de Aezkoa
31122,Uharte,Navarra,coofficial,Huarte/Uharte
31128,Izaba,Navarra,coofficial,Isaba/Izaba
31131,Itza,Navarra,coofficial,Iza/Itza
31133,Itzaltzu,Navarra,coofficial,Izalzu/Itzaltzu
31136,Txulapain,Navarra,coofficial,Juslapeña/Txulapain
31146,Leatxe,Navarra,coofficial,Leache/Leatxe
31150,Leotz,Navarra,coofficial,Leoz/Leotz
31156,Lizoainibar-Arriasgoiti,Navarra,coofficial,Lizoain-Arriasgoiti/Lizoainibar-Arriasgoiti
31158,Longida,Navarra,coofficial,Lónguida/Longida
31248,Valcarlos,Navarra,coofficial,Luzaide/Valcarlos
31172,Elo,Navarra,coofficial,Monreal/Elo
31181,Nabaskoze,Navarra,coofficial,Navascués/Nabaskoze
31185,Otsagabia,Navarra,coofficial,Ochagavía/Otsagabia
31189,Olazagutía,Navarra,coofficial,Olazti/Olazagutía
31191,Erriberri,Navarra,coofficial,Olite/Erriberri
31192,Oloritz,Navarra,coofficial,Olóriz/Oloritz
31198,Orontze,Navarra,coofficial,Oronz/Orontze
31199,Orotz-Betelu,Navarra,coofficial,Oroz-Betelu/Orotz-Betelu
31211,Roncesvalles,Navarra,coofficial,Orreaga/Roncesvalles
31201,Iruña,Navarra,coofficial,Pamplona/Iruña
31202,Azkoien,Navarra,coofficial,Peralta/Azkoien
31206,Gares,Navarra,coofficial,Puente la Reina/Gares
31207,Puiu,Navarra,coofficial,Pueyo/Puiu
31209,Erromantzatua,Navarra,coofficial,Romanzado/Erromantzatua
31210,Erronkari,Navarra,coofficial,Roncal/Erronkari
31214,Jaitz,Navarra,coofficial,Salinas de Oro/Jaitz
31216,Zangoza,Navarra,coofficial,Sangüesa/Zangoza
31222,Sartze,Navarra,coofficial,Sarriés/Sartze
31235,Uxue,Navarra,coofficial,Ujué/Uxue
31238,Untzue,Navarra,coofficial,Unzué/Untzue
31239,Urdax,Navarra,coofficial,Urdazubi/Urdax
31245,Urzainki,Navarra,coofficial,Urzainqui/Urzainki
31247,Uztarroze,Navarra,coofficial,Uztárroz/Uztarroze
31118,Goñerri,Navarra,coofficial,Val de Goñi/Goñerri
31086,Eguesibar,Navarra,coofficial,Valle de Egüés/Eguesibar
31088,Elortzibar,Navarra,coofficial,Valle de Elorz/Elortzibar
31194,Ollaran,Navarra,coofficial,Valle de Ollo/Ollaran
31260,Deierri,Navarra,coofficial,Valle de Yerri/Deierri
31252,Bidankoze,Navarra,coofficial,Vidángoz/Bidankoze
31258,Atarrabia,Navarra,coofficial,Villava/Atarrabia
31262,Zabaltza,Navarra,coofficial,Zabalza/Zabaltza
31907,Zizur Nagusia,Navarra,coofficial,Zizur Mayor/Zizur Nagusia
46013,Alboraya,Valencia,coofficial,Alboraia/Alboraya
46170,Mogente,Valencia,coofficial,Moixent/Mogente
46171,Moncada,Valencia,coofficial,Montcada/Moncada
46175,Montichelvo,Valencia,coofficial,Montitxelvo/Montichelvo
46176,Montroy,Valencia,coofficial,Montroi/Montroy
46178,Náquera,Valencia,coofficial,Nàquera/Náquera
46220,Sagunto,Valencia,coofficial,Sagunt/Sagunto
46255,Villalonga,Valencia,coofficial,Vilallonga/Villalonga
48022,Valle de Carranza,Bizkaia,coofficial,Karrantza Harana/Valle de Carranza
48074,Orduña,Bizkaia,coofficial,Urduña/Orduña
