province,municipality,auction_type,yr,qtr,outcome,n
"","",AEAT,2018,4,VENDIDA,1
"","",AEAT,2019,1,CANCELADA,1
"","",AEAT,2019,1,VENDIDA,11
"","",AEAT,2019,2,DESIERTA,3
"","",AEAT,2019,2,VENDIDA,14
"","",AEAT,2019,3,DESIERTA,1
"","",AEAT,2019,3,VENDIDA,9
"","",AEAT,2019,4,DESIERTA,1
"","",AEAT,2019,4,VENDIDA,12
"","",AEAT,2020,1,DESIERTA,1
"","",AEAT,2020,1,VENDIDA,12
"","",AEAT,2020,2,VENDIDA,8
"","",AEAT,2020,3,VENDIDA,24
"","",AEAT,2020,4,VENDIDA,7
"","",AEAT,2021,1,VENDIDA,14
"","",AEAT,2021,2,DESIERTA,1
"","",AEAT,2021,2,VENDIDA,15
"","",AEAT,2021,3,VENDIDA,9
"","",AEAT,2021,4,VENDIDA,12
"","",AEAT,2022,1,VENDIDA,6
"","",AEAT,2022,2,VENDIDA,6
"","",AEAT,2022,3,DESIERTA,7
"","",AEAT,2022,3,VENDIDA,25
"","",AEAT,2022,4,DESIERTA,2
"","",AEAT,2022,4,VENDIDA,36
"","",AEAT,2023,1,DESIERTA,1
"","",AEAT,2023,1,VENDIDA,3
"","",AEAT,2023,2,DESIERTA,1
"","",AEAT,2023,2,VENDIDA,13
"","",AEAT,2023,3,DESIERTA,4
"","",AEAT,2023,3,VENDIDA,5
"","",AEAT,2023,4,VENDIDA,9
"","",AEAT,2024,1,DESIERTA,2
"","",AEAT,2024,1,VENDIDA,6
"","",AEAT,2024,2,DESIERTA,4
"","",AEAT,2024,2,VENDIDA,12
"","",AEAT,2024,3,CANCELADA,1
"","",AEAT,2024,3,DESIERTA,3
"","",AEAT,2024,3,VENDIDA,18
"","",AEAT,2024,4,VENDIDA,10
"","",AEAT,2025,1,VENDIDA,4
"","",AEAT,2025,2,CANCELADA,1
"","",AEAT,2025,2,DESIERTA,3
"","",AEAT,2025,2,VENDIDA,20
"","",AEAT,2025,3,CANCELADA,1
"","",AEAT,2025,3,DESIERTA,4
"","",AEAT,2025,3,VENDIDA,9
"","",AEAT,2025,4,VENDIDA,2
"","",AEAT,2026,1,CANCELADA,13
"","",AEAT,2026,1,DESIERTA,2
"","",AEAT,2026,1,VENDIDA,3
"","",AEAT,2026,2,CANCELADA,1
"","",AEAT,2026,2,VENDIDA,12
"","",JUDICIAL,2016,1,DESIERTA,1
"","",JUDICIAL,2016,1,VENDIDA,4
"","",JUDICIAL,2016,2,CANCELADA,1
"","",JUDICIAL,2016,2,VENDIDA,5
"","",JUDICIAL,2016,3,VENDIDA,2
"","",JUDICIAL,2016,4,VENDIDA,4
"","",JUDICIAL,2017,1,DESIERTA,1
"","",JUDICIAL,2017,1,VENDIDA,5
"","",JUDICIAL,2017,2,DESIERTA,2
"","",JUDICIAL,2017,2,VENDIDA,11
"","",JUDICIAL,2017,3,VENDIDA,4
"","",JUDICIAL,2017,4,DESIERTA,2
"","",JUDICIAL,2017,4,VENDIDA,14
"","",JUDICIAL,2018,1,DESIERTA,1
"","",JUDICIAL,2018,1,VENDIDA,9
"","",JUDICIAL,2018,2,VENDIDA,3
"","",JUDICIAL,2018,3,DESIERTA,1
"","",JUDICIAL,2018,3,VENDIDA,1
"","",JUDICIAL,2018,4,DESIERTA,1
"","",JUDICIAL,2018,4,VENDIDA,6
"","",JUDICIAL,2019,1,VENDIDA,7
"","",JUDICIAL,2019,2,DESIERTA,3
"","",JUDICIAL,2019,2,VENDIDA,10
"","",JUDICIAL,2019,3,VENDIDA,13
"","",JUDICIAL,2019,4,DESIERTA,3
"","",JUDICIAL,2019,4,VENDIDA,20
"","",JUDICIAL,2020,1,VENDIDA,16
"","",JUDICIAL,2020,2,DESIERTA,3
"","",JUDICIAL,2020,2,VENDIDA,10
"","",JUDICIAL,2020,3,VENDIDA,6
"","",JUDICIAL,2020,4,DESIERTA,4
"","",JUDICIAL,2020,4,VENDIDA,14
"","",JUDICIAL,2021,1,DESIERTA,2
"","",JUDICIAL,2021,1,VENDIDA,6
"","",JUDICIAL,2021,2,DESIERTA,6
"","",JUDICIAL,2021,2,VENDIDA,13
"","",JUDICIAL,2021,4,DESIERTA,3
"","",JUDICIAL,2021,4,VENDIDA,13
"","",JUDICIAL,2022,1,DESIERTA,1
"","",JUDICIAL,2022,1,VENDIDA,11
"","",JUDICIAL,2022,2,DESIERTA,3
"","",JUDICIAL,2022,2,VENDIDA,17
"","",JUDICIAL,2022,3,DESIERTA,2
"","",JUDICIAL,2022,3,VENDIDA,7
"","",JUDICIAL,2022,4,DESIERTA,3
"","",JUDICIAL,2022,4,VENDIDA,19
"","",JUDICIAL,2023,1,DESIERTA,1
"","",JUDICIAL,2023,1,VENDIDA,5
"","",JUDICIAL,2023,2,VENDIDA,16
"","",JUDICIAL,2023,3,VENDIDA,9
"","",JUDICIAL,2023,4,DESIERTA,1
